CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
CNFPURP,DEMONSTRATE PURPOSE,Demonstrate,demonstrate,Demonstrate,1,,,Use 'demonstrate' term for e.g. confirmatory study objectives
CNFPURP,CONFIRM PURPOSE,Confirm,confirm,Confirm,2,,,Use 'confirm' term for e.g. confirmatory study objectives
