CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
OBJTLEVL,OBJPRIM,Primary Objective,primary objective,,1,C85826,,
OBJTLEVL,OBJSEC,Secondary Objective,secondary objective,,2,C85827,,
OBJTLEVL,OBJEXP,Exploratory Objective,exploratory objective,,3,C163559,,
