CODELIST_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,TERM_SUBMVAL,DEFINITION,ORDER,CONCEPT_ID,NCI_PREFERRED_NAME,CATALOGUES
SUCAT,Tobacco and Nicotine Products Status,tobacco and nicotine products status,TOBACCO AND NICOTINE PRODUCTS STATUS,Tobacco and Nicotine Products Status,1,,Tobacco and Nicotine Products Status,
SUCAT,Tobacco and Nicotine Products Use,tobacco and nicotine products use,TOBACCO AND NICOTINE PRODUCTS USE,Tobacco and Nicotine Products Use,2,,Tobacco and Nicotine Products Use,
SUCAT,Alcohol Consumption,alcohol consumption,ALCOHOL CONSUMPTION,Alcohol Consumption,3,,Alcohol Consumption,
