CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
UNITDIM,DEGREES,Degrees,Degrees,,15,,SDTM CT,"CDISC submission value:deg
CDISC code: C68667
CDISC synonym: Degree Unit of Plane Angle
CDISC definition: A unit of plane angle measurement equal to the length of the arc cut out by the angle, divided by the circumference of the circle, and multiplied by 360. The symbol for degrees is a small superscript circle. One radian is about 57 degrees and one degree is pi/180 radians.(NCI)"
UNITDIM,DECIBEL PER LENGTH,Decibel per length,Decibel per length,,240,,SDTM CT,"Decibel per length
Eg: dB/m"
UNITDIM,COUNT PER TIME,Count per time,Count per time,,99,,SDTM CT,Count per time
UNITDIM,COUNT,Count,Count,,103,,SDTM CT,Dimension that holds outcomes(numbers) of count variables
UNITDIM,CONCENTRATION PER UNIT,Concentration per unit,Concentration per unit,,103,,SDTM CT,"Concentration per unit, example: mmol/L/U"
UNITDIM,CONCENTRATION PER TIME PER DOSE,Concentration per time per dose,Concentration per time per dose,,201506,,SDTM CT,Sponsor defined: Concentration per time per dose
UNITDIM,CONCENTRATION PER TIME,Concentration per time,Concentration per time,,103,,SDTM CT,Example: mg/dL/h
UNITDIM,CONCENTRATION,Concentration,Concentration,,103,,SDTM CT,Concentration. Example mmol/L
UNITDIM,CELL COUNT,Cell count,Cell count,,103,,SDTM CT,Cell count. Example 10^9/L
UNITDIM,BMI,BMI,BMI,,102,,SDTM CT,"Example: kg/m2.
CDISC: A general indicator of the body fat an individual is carrying based upon the ratio of weight to height. (NCI)"
UNITDIM,BLOOD FLOW,Blood flow,Blood flow,,102,,SDTM CT,"Blood flow"
UNITDIM,BEAT RATE,Beat rate,Beat rate,,102,,SDTM CT,Example: beats/min (for pulse or heart).
UNITDIM,AREA,Area,Area,,101,,SDTM CT,"Area is a quantity expressing the two-dimensional size of a defined part of a surface, typically a region bounded by a closed curve."
UNITDIM,ARBITRARINESS,Arbitrariness,Arbitrariness,,101,,SDTM CT,"Dimension for arbitrary units"
UNITDIM,ACIDITY,Acidity,Acidity,,101,,SDTM CT,Measure measure of the acidity or basicity of a solution
UNITDIM,ENDPOINT UNITS,Endpoint Units,Endpoint Units,,101,,SDTM CT,A unit dimension to hold units for the unit column in the endpoint table. Units in this dimension are not necesarily real units and don´t have linkage to CT or conversion logic defined.
UNITDIM,AREA PER TIME,Area per Time,Area per Time,,201,,SDTM CT,A unit dimension to hold units of area divided by time.
UNITDIM,DOSE UNIT,Dose Unit,Dose Unit,,202,,SDTM CT,A unit dimension to hold dose units
