CODELIST_SUBMVAL,TERM_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,NCI_PREFERRED_NAME,ORDER,CONCEPT_ID,CATALOGUES,DEFINITION
ENDPLEVL,OUTMSPRI,Primary Endpoint,primary endpoint,,1,C98772,,
ENDPLEVL,OUTMSSEC,Secondary Endpoint,secondary endpoint,,2,C98781,,
ENDPLEVL,OUTMSEXP,Exploratory Endpoint,exploratory endpoint,,3,C98724,,
ENDPLEVL,OUTMSADD,Additional Endpoint,additional endpoint,,4,C156601,,
