CODELIST_SUBMVAL,SPONSOR_NAME,SPONSOR_NAME_SENTENCE_CASE,TERM_SUBMVAL,DEFINITION,ORDER,CONCEPT_ID,NCI_PREFERRED_NAME,CATALOGUES
ECCAT,Administration of Trial Product,administration of trial product,ADMINISTRATION OF TRIAL PRODUCT,Administration of Trial Product,1,,Administration of Trial Product,
ECCAT,Administration of Non-Trial Product,administration of non-trial product,ADMINISTRATION OF NON-TRIAL PRODUCT,Administration of Non-Trial Product,2,,Administration of Non-Trial Product,
