LIBRARY,CATALOGUE,CD_LIST_ID,CD_VAL,CD_VAL_LB,CD_VAL_LB_LC,CT_CD,CT_CD_LIST_SUBMVAL,CT_SUBMVAL,PKG_NM,CD_VAL_SORT_SEG
CDISC,SDTM CT,ObjectiveLevel,OBJPRIM,Primary Objective,primary objective,C85826_OBJPRIM,TSPARM,OBJPRIM,SDTM_2020-12-18,1
CDISC,SDTM CT,ObjectiveLevel,OBJSEC,Secondary Objective,secondary objective,C85827_OBJSEC,TSPARM,OBJSEC,SDTM_2020-12-18,2
CDISC,SDTM CT,ObjectiveLevel,OBJEXP,Exploratory Objective,exploratory objective,C163559_OBJEXP,TSPARM,OBJEXP,SDTM_2020-12-18,3
