data_model,activity_instance_class,name,description,version,release_date
FBDE v0.1,Finding (Numeric Finding|Categoric Finding),Finding,Finding related data,8.0,2024-01-23
FBDE v0.1,Finding (Numeric Finding|Categoric Finding),Finding Definition,Non subject related definitions (like lab ranges),8.0,2024-01-23
