data_model,activity_instance_class,name,description,version,release_date
FBDE v0.2,Finding (Numeric Finding|Categoric Finding),Finding,Finding related data,9.0,2025-08-25
FBDE v0.2,Finding (Numeric Finding|Categoric Finding),Finding Definition,Non subject related definitions (like lab ranges),9.0,2025-08-25
