"table","column","enrich_build_order","enrich_rule"
"APFACE","FAORNRHI",50,"sdtme_std_ornr_v$$"
"APFACE","FAORNRLO",50,"sdtme_std_ornr_v$$"
"APFACE","FASTNRHI",70,"sdtme_std_stres_v$$"
"APFACE","FASTNRLO",70,"sdtme_std_stres_v$$"
"APFACE","FASTRESC",70,"sdtme_std_stres_v$$"
"APFACE","FASTRESN",70,"sdtme_std_stres_v$$"
"APFACE","FASTRESU",60,"sdtme_std_stresu_v$$"
"APFACE","VISIT",30,"sdtme_std_visit_v$$"
"APFACE","VISITDY",40,"sdtme_std_visitdy_v$$"
"APHO","ELEMENT",30,"sdtme_std_etcd_v$$"
"APHO","EPOCH",20,"sdtme_std_epoch_v$$"
"APHO","ETCD",30,"sdtme_std_etcd_v$$"
"APHO","HODY",10,"sdtme_std_dy_v$$"
"APHO","HOENDY",10,"sdtme_std_dy_v$$"
"APHO","HOSTDY",10,"sdtme_std_dy_v$$"
"APMH","ELEMENT",60,"sdtme_std_etcd_v$$"
"APMH","EPOCH",50,"sdtme_std_epoch_v$$"
"APMH","ETCD",60,"sdtme_std_etcd_v$$"
"APMH","MHBDSYCD",40,"sdtme_std_cd_v$$"
"APMH","MHBODSYS",40,"sdtme_std_cd_v$$"
"APMH","MHDECOD",40,"sdtme_std_cd_v$$"
"APMH","MHDY",10,"sdtme_std_dy_v$$"
"APMH","MHENDY",10,"sdtme_std_dy_v$$"
"APMH","MHHLGT",40,"sdtme_std_cd_v$$"
"APMH","MHHLGTCD",40,"sdtme_std_cd_v$$"
"APMH","MHHLT",40,"sdtme_std_cd_v$$"
"APMH","MHHLTCD",40,"sdtme_std_cd_v$$"
"APMH","MHLLT",40,"sdtme_std_cd_v$$"
"APMH","MHLLTCD",40,"sdtme_std_cd_v$$"
"APMH","MHPTCD",40,"sdtme_std_cd_v$$"
"APMH","MHSOC",40,"sdtme_std_cd_v$$"
"APMH","MHSOCCD",40,"sdtme_std_cd_v$$"
"APMH","MHSTDY",10,"sdtme_std_dy_v$$"
"APMH","VISIT",20,"sdtme_std_visit_v$$"
"APMH","VISITDY",30,"sdtme_std_visitdy_v$$"
"APQS","ELEMENT",60,"sdtme_std_etcd_v$$"
"APQS","EPOCH",50,"sdtme_std_epoch_v$$"
"APQS","ETCD",60,"sdtme_std_etcd_v$$"
"APQS","QSBLFL",20,"sdtme_std_blfl_v$$"
"APQS","QSDY",10,"sdtme_std_dy_v$$"
"APQS","QSREASND",5,"sdtme_qs_stat_v$$"
"APQS","QSSTAT",5,"sdtme_qs_stat_v$$"
"APQS","QSSTRESC",80,"sdtme_std_stres_v$$"
"APQS","QSSTRESN",80,"sdtme_std_stres_v$$"
"APQS","QSSTRESU",70,"sdtme_std_stresu_v$$"
"APQS","VISIT",30,"sdtme_std_visit_v$$"
"APQS","VISITDY",40,"sdtme_std_visitdy_v$$"
"APRP","ELEMENT",80,"sdtme_std_etcd_v$$"
"APRP","EPOCH",70,"sdtme_std_epoch_v$$"
"APRP","ETCD",80,"sdtme_std_etcd_v$$"
"APRP","RPBLFL",20,"sdtme_std_blfl_v$$"
"APRP","RPDY",10,"sdtme_std_dy_v$$"
"APRP","RPENDY",10,"sdtme_std_dy_v$$"
"APRP","RPSTRESC",60,"sdtme_std_stres_v$$"
"APRP","RPSTRESN",60,"sdtme_std_stres_v$$"
"APRP","RPSTRESU",50,"sdtme_std_stresu_v$$"
"APRP","VISIT",30,"sdtme_std_visit_v$$"
"APRP","VISITDY",40,"sdtme_std_visitdy_v$$"
"APRS","ELEMENT",60,"sdtme_std_etcd_v$$"
"APRS","EPOCH",50,"sdtme_std_epoch_v$$"
"APRS","ETCD",60,"sdtme_std_etcd_v$$"
"APRS","RSDY",10,"sdtme_std_dy_v$$"
"APRS","RSSTRESC",40,"sdtme_std_stres_v$$"
"APRS","RSSTRESN",40,"sdtme_std_stres_v$$"
"APRS","RSSTRESU",39,"sdtme_std_stresu_v$$"
"APRS","VISIT",20,"sdtme_std_visit_v$$"
"APRS","VISITDY",30,"sdtme_std_visitdy_v$$"
"APSC","ELEMENT",30,"sdtme_std_etcd_v$$"
"APSC","EPOCH",20,"sdtme_std_epoch_v$$"
"APSC","ETCD",30,"sdtme_std_etcd_v$$"
"APSC","SCDY",10,"sdtme_std_dy_v$$"
"APSC","SCSTRESC",50,"sdtme_std_stres_v$$"
"APSC","SCSTRESN",50,"sdtme_std_stres_v$$"
"APSC","SCSTRESU",40,"sdtme_std_stresu_v$$"
"APVS","ELEMENT",80,"sdtme_std_etcd_v$$"
"APVS","EPOCH",70,"sdtme_std_epoch_v$$"
"APVS","ETCD",80,"sdtme_std_etcd_v$$"
"APVS","VISIT",30,"sdtme_std_visit_v$$"
"APVS","VISITDY",60,"sdtme_std_visitdy_v$$"
"APVS","VSBLFL",20,"sdtme_std_blfl_v$$"
"APVS","VSDY",10,"sdtme_std_dy_v$$"
"APVS","VSSTRESC",50,"sdtme_std_stres_v$$"
"APVS","VSSTRESN",50,"sdtme_std_stres_v$$"
"APVS","VSSTRESU",40,"sdtme_std_stresu_v$$"
"APZA","ELEMENT",100,"sdtme_std_etcd_v$$"
"APZA","EPOCH",90,"sdtme_std_epoch_v$$"
"APZA","ETCD",100,"sdtme_std_etcd_v$$"
"APZA","VISIT",30,"sdtme_std_visit_v$$"
"APZA","VISITDY",80,"sdtme_std_visitdy_v$$"
"APZA","ZABLFL",20,"sdtme_std_blfl_v$$"
"APZA","ZADY",10,"sdtme_std_dy_v$$"
"APZA","ZAORNRHI",40,"sdtme_std_ornr_v$$"
"APZA","ZAORNRLO",40,"sdtme_std_ornr_v$$"
"APZA","ZASTNRHI",70,"sdtme_std_stres_v$$"
"APZA","ZASTNRLO",70,"sdtme_std_stres_v$$"
"APZA","ZASTRESC",70,"sdtme_std_stres_v$$"
"APZA","ZASTRESN",70,"sdtme_std_stres_v$$"
"APZA","ZASTRESU",60,"sdtme_std_stresu_v$$"
"CE","CEDY",10,"sdtme_std_dy_v$$"
"CE","CEENDY",10,"sdtme_std_dy_v$$"
"CE","CESTDY",10,"sdtme_std_dy_v$$"
"CE","ELEMENT",30,"sdtme_std_etcd_v$$"
"CE","EPOCH",20,"sdtme_std_epoch_v$$"
"CE","ETCD",30,"sdtme_std_etcd_v$$"
"CE","VISIT",40,"sdtme_std_visit_v$$"
"CE","VISITDY",50,"sdtme_std_visitdy_v$$"
"CM","CMCLAS",25,"sdtme_cm_clas_v$$"
"CM","CMCLASCD",25,"sdtme_cm_clas_v$$"
"CM","CMDOSFRQ",60,"sdtme_cm_dosufrq_v$$"
"CM","CMDOSU",60,"sdtme_cm_dosufrq_v$$"
"CM","CMENDY",10,"sdtme_std_dy_v$$"
"CM","CMSTDY",10,"sdtme_std_dy_v$$"
"CM","DOMAIN",30,"sdtme_std_cd_v$$"
"CM","ELEMENT",50,"sdtme_std_etcd_v$$"
"CM","EPOCH",40,"sdtme_std_epoch_v$$"
"CM","ETCD",50,"sdtme_std_etcd_v$$"
"CO","CODY",10,"sdtme_std_dy_v$$"
"CO","DOMAIN",5,"sdtme_co_loadza_v$$"
"CO","IDVAR",1,"sdtme_co_idvar_v$$"
"CO","IDVARVAL",1,"sdtme_co_idvar_v$$"
"CO","VISIT",20,"sdtme_std_visit_v$$"
"CO","VISITDY",30,"sdtme_std_visitdy_v$$"
"CV","CVBLFL",20,"sdtme_std_blfl_v$$"
"CV","CVDY",10,"sdtme_std_dy_v$$"
"CV","CVSTRESC",50,"sdtme_std_stres_v$$"
"CV","CVSTRESN",50,"sdtme_std_stres_v$$"
"CV","CVSTRESU",40,"sdtme_std_stresu_v$$"
